sample_id	pool_id	time_point	treatment	bioRep	techRep	tenXRep	runID	QC
5245STDY7962568	pool13	D11	no	1	2	1	run29660	PASS
5245STDY7962567	pool13	D11	no	1	1	1	run29660	PASS
5245STDY7991474	pool13	D30	no	1	2	1	run29832	PASS
5245STDY7878552	pool11	D11	no	1	1	1	run28783	PASS
5245STDY7844032	pool10	D30	no	1	1	1	run28634	PASS
5245STDY7844033	pool10	D30	no	1	2	1	run28634	PASS
5245STDY7940331	pool12	D30	no	1	2	1	run29820	PASS
5245STDY7878553	pool11	D11	no	1	2	1	run28746	PASS
5245STDY7920967	pool12	D11	no	1	1	1	run29299	PASS
5245STDY7923747	pool11	D52	no	1	2	1	run29299	PASS
5245STDY7982704	pool12	D52	no	1	1	1	run29749	FAIL
5245STDY7920968	pool12	D11	no	1	2	1	run29299	PASS
5245STDY7923746	pool11	D52	no	1	1	1	run29299	PASS
5245STDY7991473	pool13	D30	no	1	1	1	run29832	PASS
5245STDY7887444	pool10	D52	no	1	2	1	run28950	PASS
5245STDY7887443	pool10	D52	no	1	1	1	run28950	PASS
5245STDY7982705	pool12	D52	no	1	2	1	run29749	FAIL
5245STDY7940330	pool12	D30	no	1	1	1	run29660	PASS
5245STDY8012018	pool13	D52	no	1	1	1	run30079	PASS
5245STDY7899446	pool11	D30	no	1	1	1	run29299	PASS
5245STDY8012019	pool13	D52	no	1	2	1	run30079	PASS
