path_to_files,sample_id,pool_id,time_point,treatment,bioRep,techRep,tenXRep
run27173/pool6-BIO2-TEC1-TEN1-D52/5245STDY7685551/cellranger-hg19/outs/,5245STDY7685551,pool6,D52,no,2,1,1
run26018/pool4-BIO1-TEC1-TEN2-D30/5245STDY7520698/cellranger-hg19/outs/,5245STDY7520698,pool4,D30,no,1,1,2
run26873/pool8-BIO1-TEC1-TEN1-D11/5245STDY7632695/cellranger-hg19/outs/,5245STDY7632695,pool8,D11,no,1,1,1
run25528/pool1-BIO1-TEC1-TEN1-D30/5245STDY7387187/cellranger-hg19/outs/,5245STDY7387187,pool1,D30,no,1,1,1
run26851/pool8-BIO1-TEC2-TEN2-D11/5245STDY7632698/cellranger-hg19/outs/,5245STDY7632698,pool8,D11,no,1,2,2
run26018/pool4-BIO1-TEC1-TEN1-D30/5245STDY7520697/cellranger-hg19/outs/,5245STDY7520697,pool4,D30,no,1,1,1
run26204/pool4-BIO1-TEC1-TEN2-D52/5245STDY7544155/cellranger-hg19/outs/,5245STDY7544155,pool4,D52,no,1,1,2
run27008/pool6-BIO2-TEC1-TEN2-D30/5245STDY7654673/cellranger-hg19/outs/,5245STDY7654673,pool6,D30,no,2,1,2
run26754/pool1-BIO2-TEC2-TEN1-D52/5245STDY7631336/cellranger-hg19/outs/,5245STDY7631336,pool1,D52,no,2,2,1
run27286/pool9-BIO1-TEC1-TEN1-D11/5245STDY7697813/cellranger-hg19/outs/,5245STDY7697813,pool9,D11,no,1,1,1
run25528/pool3-BIO1-TEC1-TEN1-D11/5245STDY7386987/cellranger-hg19/outs/,5245STDY7386987,pool3,D11,no,1,1,1
run26018/pool4-BIO1-TEC2-TEN1-D30/5245STDY7520699/cellranger-hg19/outs/,5245STDY7520699,pool4,D30,no,1,2,1
run27173/pool6-BIO2-TEC1-TEN2-D52/5245STDY7685552/cellranger-hg19/outs/,5245STDY7685552,pool6,D52,no,2,1,2
run25419/pool1-BIO1-TEC2-TEN1-D11/5245STDY7352550/cellranger-hg19/outs/,5245STDY7352550,pool1,D11,no,1,2,1
